id,category,brand_name,effective_time,purpose,indications_and_usage,active_ingredient,inactive_ingredient,dosage_and_administration,warnings
5cd93804-fd4c-5f8b-e053-2991aa0a7989,acne,Glossier solution exfoliating skin perfector,2017-10-31,Purpose Acne Treatment,Uses • for the treatment/management of acne • penetrates pores to reduce acne • helps prevent new acne from forming,Active Ingredients Salicylic Acid 0.5%,"Inactive Ingredients Aqua/Water/Eau, Sodium Hydroxide, Lactic Acid, Glycolic Acid, Gluconolactone, Propanediol, Ethoxydiglycol, Magnesium Chloride, Glycereth-7 Trimethyl Ether, Niacinamide, Betaine, Inositol, Citric Acid, Glycerin, Phytic Acid, Pentylene Glycol, PEG-60 Hydrogenated Castor Oil, Caprylyl Glycol, Ethylhexylglycerin, Parfum/Fragrance, PEG-8, Aloe Barbadensis Leaf Juice, Acetic Acid, Potassium Hydroxide.","Directions • clean the skin thoroughly before applying this product • cover the entire affected area with a thin layer one to three times daily • because excessive drying of the skin may occur, start with one application daily, then gradually increase to two or three times daily if needed or as directed by a doctor • if bothersome dryness or peeling occurs, reduce application to once a day or every other day","Warnings For external use only When using this product • avoid contact with the eyes • if contact occurs, rinse thoroughly with water • skin irritation and dryness are more likely to occur when using another topical acne product at the same time. If irritation occurs, use only one product at a time Stop use and ask a doctor • if you develop severe irritation, burning, or itching of the skin • for more severe cases, and/or if improvement is not apparent within 6-8 weeks, consult a health care professional • if you develop hives, swelling of eyes and mouth, blistering, or dif culty breathing, get medical help right away Sunburn Alert: This product contains an alpha hydroxy acid (AHA) that may increase your skin’s sensitivity to the sun and particularly the possibility of sunburn. Use a sunscreen, wear protective clothing, and limit sun exposure while using this product and for a week afterwards."
75c0915e-d561-4b9b-99d5-a2ad67df2043,acne,Sulfo lo,2020-11-02,Purpose Acne Treatment,"Indications & Useage Deep cleansing antibacterial soap for management of acne, blackheads and comedones.",Active Ingredient Sulfur 3%,"Inactive Ingredient Sodium Tallowate, Sodium Cocoate/Sodium Palm Kernelate, Water (Aqua), Glycerin, Fragrance (Parfum), Sodium Chloride, Butyrospermum parkii (Shea) Butter, Yellow 5 (CI19140), Titanium Dioxide (CI77891), Pentasodium Pentetate, Tetrasodium Etidonate, Iron Oxides (CI77492), Tocopheryl Acetate",Dosage & Administration Work into a lather and rinse with warm water • Use daily as skin cleanser or as directed by a physician.,"Warnings For external use only • Avoid contact with eyes, was with water if exposed • Do not use on • broken skin • large areas of skin • skin irritation and dryness is more likely to occur if you use another topical acne medication at the same time • If irritation occurs, only use one topical acne medication at a time • If undue irritation persists consult a physician • Keep out of reach of children. • if swallowed, get medical help or contact a Poison Control Center."
79e695d6-f3f6-43c9-b48c-77b57505adb7,acne,Salicylic Acid,2020-11-05,Purpose Acne medication,Use for the treatment of acne,Active ingredient Salicylic acid 0.5%,"Inactive ingredients alcohol (24.5%), algae extract, aloe barbadensis leaf extract, benxophenone-4, denatonium benzoate, dimethicone propyl PG-betaine, fragrance, glycerin, isoceteth-20, PEG-32, propylene glycol, sodium citrate, water, blue 1","Directions clean the skin thoroughly before applying this product cover the entire affected area with a thin layer and rinse thoroughly one to three times daily because excessive drying of the skin may occur, start with one application daily, then gradualy increase to two or three times daily if needed or as directed by a doctor if bothersome dryness or peeling occurs, reduce daily application to once a day or every other day",Warnings For external use only. Flammable. Keep away from fire or flame.
b06500c6-3496-c50a-e053-2995a90aaa92,acne,DT Exfoliating Cleanser,2020-09-28,Purpose Acne Treatment,Uses: For the treatment of acne. Penetrates pores to clear most acne blemishes. Helps keep skin clear of new acne pimple.,"Active Ingredient Salicylic Acid, 2.00% Purpose Acne Treatment","Other Ingredients: Aloe Barbadensis Leaf (Aloe Vera Gel) Juice, Aqua (Deionized Water), Cocamidopropyl Betaine, Disodium Cocoamphodiacetate, Ethylhexylglycerin, Glycerin, Glycolic Acid, Lactic Acid, Parfum (Fragrance), PEG-25 Hydrogenated Castor Oil, Phenoxyethanol, Polysorbate-80, Sodium Chloride, Sodium Hydroxide, Tetrasodium EDTA, Vitamin B12 (Cyanocobalamin).","Directions Clean the skin thoroughly before applying this product cover the entire affected area with a thin layer and rinse thoroughly one to three times daily because excessive drying of the skin may occur, start with one application daily, then gradually increase to two or three times daily if needed or as directed by a doctor if bothersome dryness or peeling occurs, reduce application to once a day or every other day.","Warnings For external use only. When using this product If irritation occurs, only use one topical acne medication at a time. Keep out of reach of children. If swallowed, contact physician or poison control center immediately. If pregnant or breast-feeding, ask a health professional before use."
c8b6c731-6f49-4891-b7cf-5202781a9d5e,acne,PCA SKIN Intensive Clarity Treatment,2020-06-25,Purpose Acne Treatment,"Uses For the treatment of acne. Helps keep skin clear of new acne pimples, blackheads and/or whiteheads.",Active Ingredient Salicylic Acid (2.0%) Purpose Acne Treatment,"Inactive Ingredients Water, Glycerin, PEG-12 Glyceryl Dimyristate, Cyclopentasiloxane, Isododecane, Niacinamide, Butylene Glycol, Dimethicone, Ammonium Acryloyldimethyltaurate/VP Copolymer, Cetearyl Alcohol, Isoamyl Laurate, Glyceryl Stearate, PEG-100 Stearate, Sodium Polyacrylate, Polysilicone-11, Bakuchiol, Caprylic/Capric Triglyceride, Maltodextrin, Phenoxyethanol, Coco-Caprylate/Caprate, Hexyl Resorcinol, Ethylhexyl Stearate, Retinol, Ethyl Linoleate, Polysorbate 20, Hexylresorcinol, Dipotassium Glycrrhizinate, Caprylyl Glycol, Trideceth-6, Xanthan Gum, Chlorphenesin, Pentylene Glycol, Isoamyl Cocoate, Syringa Vulgaris (Lilac) Leaf Cell Culture Extract, Sodium Citrate, Disodium EDTA, Decyl Glucoside, Myristoyl Nonapeptide-3, Citric Acid","Directions Cleanse the skin thoroughly before applying this product. Cover the entire affected area with a thin layer one to three times daily. Because excessive drying of the skin may occur, start with one application daily, then gradually increase to two or three times daily if needed or as directed by a doctor. If bothersome dryness or peeling occurs, reduce application to once daily or every other day.","Warnings For external use only When using this product Skin irritation and dryness is more likely to occur if you use another topical acne medication at the same time. If irritation occurs, only use one topical acne medication at a time. Keep out of reach of children. If swallowed, get medical help or contact a Poison Control Center right away."
5b5a63a3-44bb-55f5-e053-2a91aa0ab15c,acne,MD ACNE Customized Hydrating Cleanser,2017-10-12,Acne Treatment,"Use For: For the treatment of Acne. Clears up acne pimples and blemishes, and allows skin to heal. Helps prevent new pimples and blemishes from forming.",Active Ingredient: Salicylic Acid 2.00% Acne Treatment,"Other Ingredients: Aloe Barbadensis Leaf (Aloe Vera Gel) Juice, Aqua (Deionized Water), Ascorbic Acid (Vitamin C), Camellia Sinensis (Green Tea) Extract, Cocamide MEA, Cocamidopropyl Betaine, Disodium EDTA, Disodium Oleamide MEA Suifosuccinate, Ethylhexylglycerin, Glycol Stearate, Glycolic Acid, Glycyrrhiza Glabra (Licorice) Extract, Guar Hydroxypropyltrimonium Chloride, Hamamelis Virginiana (Witch hazal). Hydrogenated Castor Oil, Parfum (fragrance), Phenoxyethanol, Sodium Laureth Sulfate, Sodium Lauryl Sulfate, Tocopheryl Acetate (Vitamin E).",Directions: Wet face. Gently massage product over entire face for 20-30 seconds. Rinse thoroughly and pat dry. Recommended for daily use.,"Warnings: For external use only. Using other topical acne medications the same time or immerdiately following use of this product may increase dryness or irritation of the skin. Because excessive drying of the skin may occur, start with one application daily, then gradually increase to two or three times daily if needed or as directed by a doctor. If bothersome dryness or peeling occurs, reduce application to once per day. Do not use for prolonged periods without consulting a doctor. Keep out of reach of children. If swallowed, contact physician or poison control center immediately. Store at room temperature"
9e4e9f82-af22-407d-90f8-0135f9a5f34c,acne,Medicated Apricot Scrub,2020-04-09,Purpose Acne medication,Use for the treatment of acne,Active ingredient Salicylic acid (2%),"inactive ingredients water Juglans regia (walnut) shell powder, glyceryl stearate SE, glycerin, decyl glucoside, Zea mays (corn) kernel meal, cetearyl alcohol, cetyl alcohol, triethanolamine, cocamidopropyl betaine, glyceryl stearate, PEG-100 stearate, Prunus armeniaca (apricot) fruit extract, cetyl acetate, ceteareth-20, carbomer, polysorbate 60, acetylated lanolin alcohol, fragrance, PPG-2 methyl ether, phenethyl alcohol, methylisothiazolinone, titanium dioxide","Directions moisten face with water. Apply product with wet fingertips and massage over face. Rinse well and pat dry. avoid contact with the eyes. If contact occurs, flus thoroughly with water.",Warnings For external use only
aa999032-3f7a-48c5-9327-70b1269c78af,acne,Clearasil Active Deep Cleansing Face and Body Wash,2019-12-20,Purpose Acne medication,Use for the treatment of acne,Active ingredient Salicylic acid 2%,"Inactive ingredients water, glycerin, sodium laureth sulfate, cocamidopropyl betaine, coco-glucoside, decyl glucoside, PEG-200 hydrogenated glyceryl palmate, laureth 4, PEG-7 glyceryl cocoate, polyquaternium 43, fragrance, sodium hydroxide, phenoxyethanol, sodium benzoate, lavandula stoechas extract, helichrysum italicum extract, cistus monspeliensis extract, blue 1","Directions wet face dispense product into hands, lather and massage gently onto face and neck, avoiding the delicate eye area rinse thoroughly with warm water one to three times daily and gently pat dry because excessive drying of the skin may occur, start with one application daily, then gradually increase to two or three times daily if needed or as directed by a doctor if bothersome dryness or peeling occurs, reduce application to once a day or every other day","Warnings For external use only When using this product avoid contact with the eyes. If product gets into the eyes, rinse thoroughly with water. skin irritation and dryness is more likely to occur if you use another topical acne medication at the same time. If irritation occurs, only use one topical acne medication at a time. limit use to the face, neck, chest and back Stop use and ask a doctor if skin or eye irritation develops Keep out of reach of children. If swallowed, get medical help or contact a Poison Control Center right away."
b0ecc4c8-d2f6-6faa-e053-2995a90aa2c4,acne,Mother Dirt Daily with Salicylic Acid,2020-10-05,Purpose Acne Treatment,Use for the treatment of acne,Active Ingredient Salicylic Acid 0.5% Purpose Acne Treatment,"Inactive Ingredients water, glycerin, ethyl linoleate, astrocaryum tucuma seed butter, glyceryl cocoate, jojoba esters, ethyl olivate, lactobacillus ferment, galactoarabinan, cellulose, glucomannan, glycolipids, lactobacillus, morinda citrifolia extract, chitosan, arginine, cocos nucifera (coconut) fruit extract, stellaria media (chickweed) extract, olea europaea (olive) leaf extract, bacillus ferment","Directions Clean the skin thoroughly before applying this product. Cover the entire affected area with a thin layer one to three times daily. Because excessive drying of the skin may occur, start with one application daily, then gradually increase to two or three times daily if needed or as directed by a doctor. If bothersome dryness or peeling occurs, reduce application to once a day or every other day.","Warnings For external use only When using this product: skin irritation and dryness is more likely to occur if you use another topical acne medication at the same time. If irritation occurs, only use one topical acne medication at a time. Avoid contact with eyes. If contact occurs, rinse thoroughly with water. Keep out of reach of children. If swallowed, get medical help or contact a Poison Control Center right away."
af74baf6-c8c3-3a58-e053-2a95a90a669e,acne,3 in 1 Cleanser,2020-09-16,Purpose Salicylic Acid 1% ......Acne Treatment,Uses For the treatment of acne.,Active Ingredients Salicylic Acid 1%,"Inactive Ingredients Water/Aqua/Eau, Decyl Glucoside, Diglycerin, Glycereth-26, PEG-6 Caprylic/Capric Glycerides, Kelp (Laminaria Digitata) Extract, Yeast (Saccharomyces Cerevisiae) Extract, Seaweed (Corallina Officinalis) Extract, Orchid (Orchis Morio) Flower Extract, Sodium Hyaluronate, Arginine, Dimethicone PEG-8 Meadowfoamate, Phenoxyethanol, Caprylyl Glycol, Ethylhexylglycerin, Fragrance/Parfum, Hexylene Glycol, Urea*, Glucosamine HCl, Propylene Glycol. *Synthetic","Directions • Wet face. Apply one to two pumps of foam onto wet skin. Gently massage in a circular motion. Rinse well. • Because excessive drying of the skin may occur, start with one application daily, then gradually increase to two or three times daily if needed or as directed by a doctor. • If bothersome dryness or peeling occurs, reduce application to once a day or every other day.",Warnings For External Use Only Keep out of Eyes
b631f161-d45e-377e-e053-2a95a90a301d,acne,Anti-Blemish,2020-12-11,Purpose: Acne treatment,"A sophisticated anti-blemish pad formulated with pharmaceutical grade, proven acne-fighting ingredients to help clear blemishes and blackheads as well as prevent future breakouts. This hydrating, innovative and gentle formula will improve skin texture and clarity, as well as moisturize to help prevent skin from over-drying or becoming flaky. Ideal for both adolescent and adult acne. Uses ■ helps dissolve excess oil (sebum) ■ helps reduce bacteria that may cause breakouts ■ helps penetrate pores to control acne blemishes ■ helps prevent new blemishes",Active ingredient: Salicylic acid 2%,"Inactive ingredients: water, octoxynol-9, acer saccharum (maple isolate), octoxynol-12, sodium thiosulfate, sodium hydroxide, zinc sulfate, mentha piperita (peppermint) oil, benzyl alcohol.","Directions ■ Use the pad to wipe the entire affected area after cleansing and toning face. Do not leave pad on skin for an extended period of time. ■ Begin with one application daily, gradually increasing up to two to three times daily or as directed by a health care practitioner. ■ Application should be reduced if severe dryness occurs. When using this product, it is always recommended to apply a sunscreen before sun exposure.","Warnings For external use only. Avoid contact with eyes when using this product. If contact occurs, rinse abundantly with water to remove. Discontinue use in case of excessive skin irritation or if condition does not improve. If irritation persists, consult a health care practitioner. Using other topical acne products at the same time or immediately following use of this product may increase dryness or irritation of the skin. If this occurs, only one product should be used unless directed by a health care practitioner. Keep out of children’s reach. Do not use if security seal is missing or broken. Close tightly after use. Keep product in original jar. Other information Store at room temperature 15-30°C (59-86°F)."
7c75c219-f8bf-2b0b-e053-2a91aa0a7986,acne,Clear Salve-50,2018-12-07,"Purpose Acne, Psoriasis, Dandruff, Seborrheic Dermatitis","Uses • treating acne • dries up acne pimples • helps prevent new acne pimples • eliminates seborrhea and dandruff • helps itching, redness, scaling",Active Ingredient Salicylic Acid 2%,"Inactive Ingredients nactive Ingredients: Purified water, isomerized linoleic acid (CLA from Safflower), potassium hydroxide, Aspartate, Niacinamide, Oryza sativa extract (Rice Vit E Tocotrienol).","Directions Pump into the palm of your hand. Spread on affected area one to four times daily or as directed by a doctor. If condition covers a large area, consult a doctor.","Warnings For external use only. Avoid contact with eyes. If contact occurs rinse right away with water. If condition worsens or does not improve after regular use, see a doctor. Skin irritation and dryness is more likely to occur if you use another topical acne medication at the same time. If irritation occurs, only use one topical acne medication at a time"
9cd5703c-a844-955b-e053-2995a90a87af,acne,Medicated Gel Cleanser -2% Salicylic Acid,2020-01-23,Purpose: acne medication,To cleanse skin and prevent acne,Active Ingredient: Salicylic Acid (2%),"Other Ingredients: Cocamidopropyl Hydrosultaine (Scherctaine SCAB), Disodium EDTA, D-Panthenol, Deionized Water, Disodium Laureth Sulfosuccinate, Ethylhexylglycerin, Eucalyptus Oil, Sage Extract, Witch Hazel, Willow Bark, Glycerin, Isoceteth-20, Phenoxyethanol, Pinus Sylvestre, Potassium Sorbate, Sodium Lauryl Sulfoacetate, Water, Xanthan Gum",Recommended Use: Use daily both morning and night. Cleanse facial and neck area by massaging a liberal amount onto damp skin using upward circular motions. Rinse thoroughly with warm water.,WARNING: For External Use Only
a8b44e1c-d8ea-1710-e053-2a95a90abc95,acne,Foaming Cleanser Jafra,2020-06-22,Uses Treats acne Prevents new acne pimples,"indications and usage When using this product Using other topical acne medication at the same time or immediately following the use of this product may increase dryness or irritation of the skin. If this occurs, only one medication should be used unless directed by a doctor.","Active Ingredient Purpose Salicyclic Acid 0.5% Acne Treatment Uses Treats acne Prevents new acne pimples keep out of reach of children Keep out of reach of children. If swallowed, get medical help or contact a Poison Control Center right away. indications and usage When using this product Using other topical acne medication at the same time or immediately following the use of this product may increase dryness or irritation of the skin. If this occurs, only one medication should be used unless directed by a doctor. Warnings For external use only Directions -Gently massage over face, rinse well and pat dry. -Avoid contact with eyes. -Because excessive drying of the skin may occur, start with 1 application daily, then gradually increase to 2 or 3 times daily if needed or as directed by a doctor. -If bothersome dryness or peeling occurs, reduce application to once a day or every other day. Inactive ingredients Benzophenone-4, cocamidopropyl Betaine, Decyl Glucoside, Diazolidinyl Urea, Disodium EDTA, lodopropynyl Butylcarbamate, Fragrance/Parfum, Polysorbate 20, Propylene Glycol, Salix Nigra (Willow) Bark Extract, Sodium C14-16 Olefin Sulfonate, Sodium Lauroyl Oat Amino Acids, TEA-Cocoyl Glutamate, Water/Aqua.","Inactive ingredients Benzophenone-4, cocamidopropyl Betaine, Decyl Glucoside, Diazolidinyl Urea, Disodium EDTA, lodopropynyl Butylcarbamate, Fragrance/Parfum, Polysorbate 20, Propylene Glycol, Salix Nigra (Willow) Bark Extract, Sodium C14-16 Olefin Sulfonate, Sodium Lauroyl Oat Amino Acids, TEA-Cocoyl Glutamate, Water/Aqua.","Directions -Gently massage over face, rinse well and pat dry. -Avoid contact with eyes. -Because excessive drying of the skin may occur, start with 1 application daily, then gradually increase to 2 or 3 times daily if needed or as directed by a doctor. -If bothersome dryness or peeling occurs, reduce application to once a day or every other day.",Warnings For external use only
2229c7e4-22d2-4881-9dfc-e398c316e3c8,acne,Clean and Clear blackhead eraser scrub,2020-10-13,Purpose Acne treatment,Uses for the treatment of acne clears blackheads,Active ingredients Salicylic Acid 2%,"Inactive ingredients Water, Cetyl alcohol, PPG-15 Stearyl Ether, Cellulose, Glycerin, Polysorbate 60, Steareth-21, Microcrystalline Wax, Potassium Cetyl Phosphate, Xanthan Gum, Fragrance, Disodium EDTA, Methyl Lactate, Sodium Hydroxide, Ferric Ferrocyanide","Directions Wet face. Gently massage all over face for 20-30 seconds, avoiding eye area. Rinse thoroughly and pat dry. Recommended for daily use.","Warnings For external use only. When using this product skin irritation and dryness is more likely to occur if you use another topical acne medication at the same time. If irritation occurs, only use one topical acne medication at a time. avoid contact with eyes. If contact occurs, flush thoroughly with water. Keep out of reach of children . If swallowed, get medical help or contact a Poison Control Center right away."
22d45775-28c4-426d-9b7a-abd57e86439a,acne,Game Over Acne Drying Treatment,2020-05-05,Purpose Acne treatment,"Uses for the management of acne dries and clears acne blemishes, acne pimples, blackheads, and allows skin to heal helps prevent the development of new acne blemishes, acne pimples and blackheads",Active ingredient Sulfur 10%,"Inactive ingredients Water/Aqua/Eau, Kaolin, Propanediol, Bentonite, Silica, Tetrahexyldecyl Ascorbate, Pentylene Glycol, Butylene Glycol, Phenoxyethanol, Glycerin, Polyacrylate Crosspolymer-6, Ammonium Acryloyldimethyltaurate/VP Copolymer, Sodium Acrylates Copolymer, Dipotassium Glycyrrhizate, Hydrogenated Polyisobutene, Zinc Oxide (CI 77947), Ceramide NP, Citric Acid, Phospholipids, Polyglyceryl-10 Stearate, Sodium Benzotriazolyl Butylphenol Sulfonate, Helianthus Annuus (Sunflower) Seed Oil, Ethylhexylglycerin, Hydroxyphenyl Propamidobenzoic Acid, Tetrasodium Glutamate Diacetate, Terminalia Ferdinandiana Fruit Extract, t-Butyl Alcohol, Podocarpus Elatus Fruit Extract, Pleiogynium Timoriense Fruit Extract, Ascorbyl Palmitate, Sodium Hydroxide, Tocopherol, Sodium Glycolate, Sodium Formate.","Directions clean skin thoroughly before applying this product cover the entire affected area with a thin layer one to three times daily because excessive drying of the skin may occur, start with one application daily, then gradually increase to two or three times daily if needed or as directed by a doctor if bothersome dryness or peeling occurs, reduce application to once a day or every other day Sensitivity Test for a New User: Apply product sparingly to one or two small affected areas during first 3 days. If no discomfort occurs, follow directions above.","Warnings For external use only. When using this product skin irritation and dryness is more likely to occur if you use another topical acne medication at the same time. If irritation occurs, only use one topical acne medication at a time. apply only to areas with acne. Do not use on broken skin large areas of the skin. Keep out of reach of children. If swallowed, get medical help or contact a Poison Control Center right away."
